ID,Image-ID,Name,Type
373500,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=373500&type=card","Ashiok, Nightmare Weaver","Legendary Planeswalker - Ashiok (3)"
470734,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=470734&type=card","Bloodhall Priest","Creature - Vampire Cleric (4/4)"
541050,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=541050&type=card","Bramble Armor","Artifact - Equipment"
571521,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=571521&type=card","Bring to Light","Sorcery"
522264,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=522264&type=card","Captured by Lagacs","Enchantment - Aura"
202600,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=202600&type=card","Celestial Sword","Artifact"
461115,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=461115&type=card","Cruel Celebrant","Creature - Vampire (1/2)"
547655,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=547655&type=card","Defiant Greatmaw","Creature - Hippo (4/5)"
580714,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=580714&type=card","Draconian Gate-Bot","Artifact Creature - Robot (4/2)"
31796,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=31796&type=card","Dwarven Strike Force","Creature - Dwarf Berserker (4/3)"
435343,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435343&type=card","Emergent Growth","Sorcery"
19839,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=19839&type=card","Flailing Ogre","Creature - Ogre (3/3)"
555389,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=555389&type=card","Fleetfoot Dancer","Creature - Elf Druid (4/4)"
513680,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=513680&type=card","Fracture","Instant"
479708,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=479708&type=card","General's Enforcer","Creature - Human Soldier (2/3)"
394580,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=394580&type=card","Glade Watcher","Creature - Elemental (3/3)"
15197,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=15197&type=card","Goblin Gardener","Creature - Goblin (2/1)"
548496,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=548496&type=card","Grafted Growth","Enchantment - Aura"
447324,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=447324&type=card","Highland Game","Creature - Elk (2/1)"
226883,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=226883&type=card","Hollowhenge Scavenger","Creature - Elemental (4/5)"
534976,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=534976&type=card","Howl of the Hunt","Enchantment - Aura"
527475,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527475&type=card","Hunter's Mark","Instant"
191394,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191394&type=card","Kalonian Behemoth","Creature - Beast (9/9)"
497708,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=497708&type=card","Kediss, Emberclaw Familiar","Legendary Creature - Elemental Lizard (1/1)"
457332,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457332&type=card","Knight of the Last Breath","Creature - Giant Knight (4/4)"
582437,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=582437&type=card","Launch the Fleet","Sorcery"
563071,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=563071&type=card","Livaan, Cultist of Tiamat","Legendary Creature - Dragon Shaman (1/3)"
386601,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=386601&type=card","Master the Way","Sorcery"
532575,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=532575&type=card","Necrotic Sliver","Creature - Sliver (2/2)"
476439,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=476439&type=card","Nylea's Intervention","Sorcery"
578804,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=578804&type=card","Oketra's Monument","Legendary Artifact"
430407,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430407&type=card","Oros, the Avenger","Legendary Creature - Dragon (6/6)"
240103,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=240103&type=card","Pathbreaker Wurm","Creature - Wurm (6/4)"
583772,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=583772&type=card","Perimeter Patrol","Creature - Human Soldier (3/3)"
433120,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=433120&type=card","Phantom Nishoba","Creature - Cat Beast Spirit (0/0)"
397421,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=397421&type=card","Reality Anchor","Instant"
503804,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=503804&type=card","Realmwalker","Creature - Shapeshifter (2/3)"
139679,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139679&type=card","Rebellion of the Flamekin","Tribal Enchantment - Elemental"
574402,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=574402&type=card","Red Dragon","Creature - Dragon (4/4)"
414493,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=414493&type=card","Ride Down","Instant"
451143,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=451143&type=card","Righteous Authority","Enchantment - Aura"
509553,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=509553&type=card","Shivan Meteor","Sorcery"
79140,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=79140&type=card","Sokenzan Bruiser","Creature - Ogre Warrior (3/3)"
383105,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=383105&type=card","Spark Spray","Instant"
426013,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=426013&type=card","Spike Jester","Creature - Goblin Warrior (3/1)"
442177,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=442177&type=card","Stampede Driver","Creature - Human Spellshaper (1/1)"
574668,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=574668&type=card","The Weatherseed Treaty","Enchantment - Saga"
464137,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=464137&type=card","Twin-Silk Spider","Creature - Spider (1/2)"
438754,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=438754&type=card","Undercity Troll","Creature - Troll (2/2)"
88979,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=88979&type=card","Ursapine","Creature - Beast (3/3)"
489345,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=489345&type=card","Vedalken Entrancer","Creature - Vedalken Wizard (1/4)"
443076,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=443076&type=card","Wild Onslaught","Instant"
489861,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=489861&type=card","Woodland Champion","Creature - Elf Scout (2/2)"
184682,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=184682&type=card","Woolly Mammoths","Creature - Elephant (3/2)"
439577,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439577&type=card","Head Banger","Artifact - Contraption"
588799,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=588799&type=card","Izzet Boilerworks","Land"
108852,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=108852&type=card","Æther Web (Aether Web)","Enchantment - Aura"
446157,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=446157&type=card","Aim High","Instant"
489862,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=489862&type=card","Arixmethes, Slumbering Isle","Legendary Creature - Kraken (12/12)"
201218,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=201218&type=card","Astrolabe","Artifact"
373612,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=373612&type=card","Battlewise Hoplite","Creature - Human Soldier (2/2)"
39737,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=39737&type=card","Blistering Firecat","Creature - Elemental Cat (7/1)"
541051,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=541051&type=card","Bramble Wurm","Creature - Wurm (7/6)"
571522,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=571522&type=card","Burning-Tree Emissary","Creature - Human Shaman (2/2)"
522265,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=522265&type=card","Carth the Lion","Legendary Creature - Human Warrior (3/5)"
247374,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=247374&type=card","Chorus of the Conclave","Legendary Creature - Dryad (3/8)"
202513,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=202513&type=card","Clay Statue","Artifact Creature - Golem (3/1)"
547995,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=547995&type=card","Cloudblazer","Creature - Human Scout (2/2)"
547656,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=547656&type=card","Dissenter's Deliverance","Instant"
29769,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=29769&type=card","Earth Rift","Sorcery"
435344,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435344&type=card","Emperor's Vanguard","Creature - Human Scout (4/3)"
19602,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=19602&type=card","Flailing Soldier","Creature - Human Soldier (2/2)"
555390,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=555390&type=card","Forge Boss","Creature - Human Warrior (3/4)"
513681,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=513681&type=card","Galazeth Prismari","Legendary Creature - Elder Dragon (3/4)"
479709,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=479709&type=card","Genesis Ultimatum","Sorcery"
6584,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=6584&type=card","Goblin Glider","Creature - Goblin (1/1)"
548497,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=548497&type=card","Greater Tanuki","Enchantment Creature - Dog (6/5)"
580820,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=580820&type=card","Greatest Show in the Multiverse","Artifact Enchantment - Saga"
146035,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=146035&type=card","Grief Tyrant","Creature - Horror (8/8)"
394587,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=394587&type=card","Guardian Shield-Bearer","Creature - Human Soldier (2/1)"
485512,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485512&type=card","Hunter's Edge","Sorcery"
46760,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=46760&type=card","Jinxed Choker","Artifact"
491835,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=491835&type=card","Kazandu Mammoth","Creature - Elephant (3/3)"
497709,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=497709&type=card","Krark, the Thumbless","Legendary Creature - Goblin Wizard (2/2)"
582438,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=582438&type=card","Martial Coup","Sorcery"
534977,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=534977&type=card","Might of the Old Ways","Instant"
386604,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=386604&type=card","Mindswipe","Instant"
452939,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452939&type=card","Mnemonic Betrayal","Sorcery"
563072,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=563072&type=card","Nemesis Phoenix","Creature - Phoenix (4/2)"
476440,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=476440&type=card","Nyx Herald","Enchantment Creature - Centaur Shaman (2/3)"
532576,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=532576&type=card","Obsessive Stitcher","Creature - Human Wizard (0/3)"
210239,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=210239&type=card","Origin Spellbomb","Artifact"
240158,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=240158&type=card","Primal Surge","Sorcery"
366296,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=366296&type=card","Psychic Strike","Instant"
397573,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=397573&type=card","Recycle","Enchantment"
177600,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=177600&type=card","Rip-Clan Crasher","Creature - Human Warrior (2/2)"
503805,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=503805&type=card","Rootless Yew","Creature - Treefolk (5/4)"
583773,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=583773&type=card","Sarinth Steelseeker","Creature - Human Artificer Scout (1/2)"
509554,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=509554&type=card","Shivan Sand-Mage","Creature - Viashino Shaman (3/2)"
79253,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=79253&type=card","Soul of Magma","Creature - Spirit (2/2)"
414494,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=414494&type=card","Spell Queller","Creature - Spirit (2/3)"
574403,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=574403&type=card","Storm King's Thunder","Instant"
574669,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=574669&type=card","The World Spell","Enchantment - Saga"
